id,lon,lat
05545,11.605,55.869
05575,12.292,56.043
05735,12.583,55.683
05945,11.533,54.98
05970,11.351,54.657
05986,12.454,54.992
05994,14.968,55.163
06019,8.641,56.929
06021,8.595,57.122
06030,9.851,57.096
06031,9.953,57.185
06032,10.335,57.383
06033,9.958,57.596
06041,10.632,57.736
06042,10.549,57.436
06044,10.309,56.99
06051,8.321,56.764
06068,9.181,56.094
06070,10.626,56.308
06072,10.127,56.303
06080,8.563,55.528
06081,8.083,55.557
06082,8.624,55.959
06088,8.4,55.448
06096,8.56,55.191
06099,8.564,55.086
06102,9.787,55.868
06104,9.167,55.738
06109,9.112,55.471
06118,9.788,54.962
06119,9.988,54.853
06123,9.888,55.244
06126,10.44,55.309
06135,11.388,55.322
06141,11.329,54.827
06147,12.184,54.879
06149,11.944,54.569
06154,11.86,55.208
06156,11.603,55.736
06165,11.71,56.196
06168,12.342,56.119
06169,11.278,56.008
06170,12.136,55.587
06174,12.149,55.396
06181,12.526,55.766
06184,12.562,55.716
06186,12.544,55.686
06188,12.412,55.876
06190,14.749,55.068
06197,15.095,55.056
20097,10.493,57.449
20099,10.526,57.426
20298,9.999,56.996
20304,9.949,57.046
20456,9.814,57.001
20458,9.82,57.01
20461,9.835,56.976
22123,10.901,56.412
22361,10.144,56.126
22419,9.578,56.2
22421,9.559,56.16
23127,9.856,55.854
23157,9.612,55.731
23252,9.451,55.708
23261,9.539,55.702
23263,9.581,55.682
23294,9.722,55.552
23316,9.535,55.513
23319,9.467,55.511
23321,9.486,55.487
23325,9.463,55.488
23328,9.484,55.468
23334,9.309,55.491
25171,8.429,55.488
26071,9.496,55.354
26091,9.506,55.249
26376,8.854,54.922
26481,9.804,54.924
28453,10.683,55.062
28461,10.59,55.063
29122,11.049,55.692
29142,11.104,55.667
29354,11.342,55.417
30014,12.465,56.092
30029,12.606,56.028
30031,12.558,55.994
30131,12.068,55.831
30168,12.271,55.944
30184,12.434,55.859
30201,12.56,55.848
30208,12.575,55.766
30222,12.52,55.728
30231,12.528,55.755
30232,12.531,55.743
30233,12.556,55.731
30234,12.573,55.732
30235,12.567,55.749
30236,12.585,55.756
30237,12.547,55.769
30242,12.406,55.813
30252,12.456,55.766
30254,12.461,55.752
30257,12.456,55.721
30277,12.105,55.757
30279,12.148,55.738
30294,12.154,55.699
30307,12.463,55.655
30309,12.465,55.702
30316,12.318,55.759
30318,12.472,55.642
30319,12.477,55.618
30321,12.465,55.694
30326,12.539,55.706
30352,12.583,55.603
30381,12.544,55.686
30386,12.34,55.664
30388,12.258,55.661
30395,12.349,55.605
30449,12.019,55.553
30452,12.09,55.573
31151,11.729,55.211
31152,11.747,55.198
31154,11.783,55.223
31511,11.881,54.774
32097,14.709,55.103
05005,10.107,57.57
05009,9.761,57.418
05015,10.27,57.403
05031,11.029,57.275
05065,9.825,56.814
05075,9.72,56.665
05081,9.404,56.879
05089,8.965,57.152
05095,8.377,56.951
05105,8.73,56.833
05135,9.617,56.283
05185,9.788,56.15
05220,9.996,55.71
05225,9.553,55.831
05269,9.016,55.853
05290,8.525,56.649
05300,8.166,56.26
05305,8.472,56.183
05320,8.693,55.725
05329,8.342,55.72
05345,8.743,55.329
05355,8.665,54.987
05395,9.668,55.256
05400,9.895,55.493
05450,10.709,54.757
05455,10.723,54.946
05469,10.728,55.304
05505,11.709,55.563
05510,11.238,55.527
05529,11.331,55.752
05545,11.605,55.869
05575,12.292,56.043
05735,12.583,55.683
05945,11.533,54.98
05970,11.351,54.657
05986,12.454,54.992
05994,14.968,55.163
06019,8.641,56.929
06021,8.595,57.122
06030,9.851,57.096
06031,9.953,57.185
06032,10.335,57.383
06033,9.958,57.596
06041,10.632,57.736
06042,10.549,57.436
06044,10.309,56.99
06051,8.321,56.764
06068,9.181,56.094
06070,10.626,56.308
06072,10.127,56.303
06080,8.563,55.528
06081,8.083,55.557
06082,8.624,55.959
06088,8.4,55.448
06096,8.56,55.191
06099,8.564,55.086
06102,9.787,55.868
06104,9.167,55.738
06109,9.112,55.471
06118,9.788,54.962
06119,9.988,54.853
06123,9.888,55.244
06126,10.44,55.309
06135,11.388,55.322
06141,11.329,54.827
06147,12.184,54.879
06149,11.944,54.569
06154,11.86,55.208
06156,11.603,55.736
06165,11.71,56.196
06168,12.342,56.119
06169,11.278,56.008
06170,12.136,55.587
06174,12.149,55.396
06181,12.526,55.766
06184,12.562,55.716
06186,12.544,55.686
06188,12.412,55.876
06190,14.749,55.068
06197,15.095,55.056
20097,10.493,57.449
20099,10.526,57.426
20298,9.999,56.996
20304,9.949,57.046
20456,9.814,57.001
20458,9.82,57.01
20461,9.835,56.976
22123,10.901,56.412
22361,10.144,56.126
22419,9.578,56.2
22421,9.559,56.16
23127,9.856,55.854
23157,9.612,55.731
23252,9.451,55.708
23261,9.539,55.702
23263,9.581,55.682
23294,9.722,55.552
23316,9.535,55.513
23319,9.467,55.511
23321,9.486,55.487
23325,9.463,55.488
23328,9.484,55.468
23334,9.309,55.491
25171,8.429,55.488
26071,9.496,55.354
26091,9.506,55.249
26376,8.854,54.922
26481,9.804,54.924
28453,10.683,55.062
28461,10.59,55.063
29122,11.049,55.692
29142,11.104,55.667
29354,11.342,55.417
30014,12.465,56.092
30029,12.606,56.028
30031,12.558,55.994
30131,12.068,55.831
30168,12.271,55.944
30184,12.434,55.859
30201,12.56,55.848
30208,12.575,55.766
30222,12.52,55.728
30231,12.528,55.755
30232,12.531,55.743
30233,12.556,55.731
30234,12.573,55.732
30235,12.567,55.749
30236,12.585,55.756
30237,12.547,55.769
30242,12.406,55.813
30252,12.456,55.766
30254,12.461,55.752
30257,12.456,55.721
30277,12.105,55.757
30279,12.148,55.738
30294,12.154,55.699
30307,12.463,55.655
30309,12.465,55.702
30316,12.318,55.759
30318,12.472,55.642
30319,12.477,55.618
30321,12.465,55.694
30326,12.539,55.706
30352,12.583,55.603
30381,12.544,55.686
30386,12.34,55.664
30388,12.258,55.661
30395,12.349,55.605
30449,12.019,55.553
30452,12.09,55.573
31151,11.729,55.211
31152,11.747,55.198
31154,11.783,55.223
31511,11.881,54.774
32097,14.709,55.103
05005,10.107,57.57
05009,9.761,57.418
05015,10.27,57.403
05031,11.029,57.275
05065,9.825,56.814
05075,9.72,56.665
05081,9.404,56.879
05089,8.965,57.152
05095,8.377,56.951
05105,8.73,56.833
05135,9.617,56.283
05185,9.788,56.15
05220,9.996,55.71
05225,9.553,55.831
05269,9.016,55.853
05290,8.525,56.649
05300,8.166,56.26
05305,8.472,56.183
05320,8.693,55.725
05329,8.342,55.72
05345,8.743,55.329
05355,8.665,54.987
05395,9.668,55.256
05400,9.895,55.493
05450,10.709,54.757
05455,10.723,54.946
05469,10.728,55.304
05505,11.709,55.563
05510,11.238,55.527
05529,11.331,55.752
05545,11.605,55.869
05575,12.292,56.043
05735,12.583,55.683
05945,11.533,54.98
05970,11.351,54.657
05986,12.454,54.992
05994,14.968,55.163
06019,8.641,56.929
06021,8.595,57.122
06030,9.851,57.096
06031,9.953,57.185
06032,10.335,57.383
06033,9.958,57.596
06041,10.632,57.736
06042,10.549,57.436
06044,10.309,56.99
06051,8.321,56.764
06068,9.181,56.094
06070,10.626,56.308
06072,10.127,56.303
06080,8.563,55.528
06081,8.083,55.557
06082,8.624,55.959
06088,8.4,55.448
06096,8.56,55.191
06099,8.564,55.086
06102,9.787,55.868
06104,9.167,55.738
06109,9.112,55.471
06118,9.788,54.962
06119,9.988,54.853
06123,9.888,55.244
06126,10.44,55.309
06135,11.388,55.322
06141,11.329,54.827
06147,12.184,54.879
06149,11.944,54.569
06154,11.86,55.208
06156,11.603,55.736
06165,11.71,56.196
06168,12.342,56.119
06169,11.278,56.008
06170,12.136,55.587
06174,12.149,55.396
06181,12.526,55.766
06184,12.562,55.716
06186,12.544,55.686
06188,12.412,55.876
06190,14.749,55.068
06197,15.095,55.056
20097,10.493,57.449
20099,10.526,57.426
20298,9.999,56.996
20304,9.949,57.046
20456,9.814,57.001
20458,9.82,57.01
20461,9.835,56.976
22123,10.901,56.412
22361,10.144,56.126
22419,9.578,56.2
22421,9.559,56.16
23127,9.856,55.854
23157,9.612,55.731
23252,9.451,55.708
23261,9.539,55.702
23263,9.581,55.682
23294,9.722,55.552
23316,9.535,55.513
23319,9.467,55.511
23321,9.486,55.487
23325,9.463,55.488
23328,9.484,55.468
23334,9.309,55.491
25171,8.429,55.488
26071,9.496,55.354
26091,9.506,55.249
26376,8.854,54.922
26481,9.804,54.924
28453,10.683,55.062
28461,10.59,55.063
29122,11.049,55.692
29142,11.104,55.667
29354,11.342,55.417
30014,12.465,56.092
30029,12.606,56.028
30031,12.558,55.994
30131,12.068,55.831
30168,12.271,55.944
30184,12.434,55.859
30201,12.56,55.848
30208,12.575,55.766
30222,12.52,55.728
30231,12.528,55.755
30232,12.531,55.743
30233,12.556,55.731
30234,12.573,55.732
30235,12.567,55.749
30236,12.585,55.756
30237,12.547,55.769
30242,12.406,55.813
30252,12.456,55.766
30254,12.461,55.752
30257,12.456,55.721
30277,12.105,55.757
30279,12.148,55.738
30294,12.154,55.699
30307,12.463,55.655
30309,12.465,55.702
30316,12.318,55.759
30318,12.472,55.642
30319,12.477,55.618
30321,12.465,55.694
30326,12.539,55.706
30352,12.583,55.603
30381,12.544,55.686
30386,12.34,55.664
30388,12.258,55.661
30395,12.349,55.605
30449,12.019,55.553
30452,12.09,55.573
31151,11.729,55.211
31152,11.747,55.198
31154,11.783,55.223
31511,11.881,54.774
32097,14.709,55.103
05005,10.107,57.57
05009,9.761,57.418
05015,10.27,57.403
05031,11.029,57.275
05065,9.825,56.814
05075,9.72,56.665
05081,9.404,56.879
05089,8.965,57.152
05095,8.377,56.951
05105,8.73,56.833
05135,9.617,56.283
05185,9.788,56.15
05220,9.996,55.71
05225,9.553,55.831
05269,9.016,55.853
05290,8.525,56.649
05300,8.166,56.26
05305,8.472,56.183
05320,8.693,55.725
05329,8.342,55.72
05345,8.743,55.329
05355,8.665,54.987
05395,9.668,55.256
05400,9.895,55.493
05450,10.709,54.757
05455,10.723,54.946
05469,10.728,55.304
05505,11.709,55.563
05510,11.238,55.527
05529,11.331,55.752
05545,11.605,55.869
05575,12.292,56.043
05735,12.583,55.683
05945,11.533,54.98
05970,11.351,54.657
05986,12.454,54.992
05994,14.968,55.163
06019,8.641,56.929
06021,8.595,57.122
06030,9.851,57.096
06031,9.953,57.185
06032,10.335,57.383
06033,9.958,57.596
06041,10.632,57.736
06042,10.549,57.436
06044,10.309,56.99
06051,8.321,56.764
06068,9.181,56.094
06070,10.626,56.308
06072,10.127,56.303
06080,8.563,55.528
06081,8.083,55.557
06082,8.624,55.959
06088,8.4,55.448
06096,8.56,55.191
06099,8.564,55.086
06102,9.787,55.868
06104,9.167,55.738
06109,9.112,55.471
06118,9.788,54.962
06119,9.988,54.853
06123,9.888,55.244
06126,10.44,55.309
06135,11.388,55.322
06141,11.329,54.827
06147,12.184,54.879
06149,11.944,54.569
06154,11.86,55.208
06156,11.603,55.736
06165,11.71,56.196
06168,12.342,56.119
06169,11.278,56.008
06170,12.136,55.587
06174,12.149,55.396
06181,12.526,55.766
06184,12.562,55.716
06186,12.544,55.686
06188,12.412,55.876
06190,14.749,55.068
06197,15.095,55.056
20097,10.493,57.449
20099,10.526,57.426
20298,9.999,56.996
20304,9.949,57.046
20456,9.814,57.001
20458,9.82,57.01
20461,9.835,56.976
22123,10.901,56.412
22361,10.144,56.126
22419,9.578,56.2
22421,9.559,56.16
23127,9.856,55.854
23157,9.612,55.731
23252,9.451,55.708
23261,9.539,55.702
23263,9.581,55.682
23294,9.722,55.552
23316,9.535,55.513
23319,9.467,55.511
23321,9.486,55.487
23325,9.463,55.488
23328,9.484,55.468
23334,9.309,55.491
25171,8.429,55.488
26071,9.496,55.354
26091,9.506,55.249
26376,8.854,54.922
26481,9.804,54.924
28453,10.683,55.062
28461,10.59,55.063
29122,11.049,55.692
29142,11.104,55.667
29354,11.342,55.417
30014,12.465,56.092
30029,12.606,56.028
30031,12.558,55.994
30131,12.068,55.831
30168,12.271,55.944
30184,12.434,55.859
30201,12.56,55.848
30208,12.575,55.766
30222,12.52,55.728
30231,12.528,55.755
30232,12.531,55.743
30233,12.556,55.731
30234,12.573,55.732
30235,12.567,55.749
30236,12.585,55.756
30237,12.547,55.769
30242,12.406,55.813
30252,12.456,55.766
30254,12.461,55.752
30257,12.456,55.721
30277,12.105,55.757
30279,12.148,55.738
30294,12.154,55.699
30307,12.463,55.655
30309,12.465,55.702
30316,12.318,55.759
30318,12.472,55.642
30319,12.477,55.618
30321,12.465,55.694
30326,12.539,55.706
30352,12.583,55.603
30381,12.544,55.686
30386,12.34,55.664
30388,12.258,55.661
30395,12.349,55.605
30449,12.019,55.553
30452,12.09,55.573
31151,11.729,55.211
31152,11.747,55.198
31154,11.783,55.223
31511,11.881,54.774
32097,14.709,55.103
